Id,LookupId,Number,Aircraft_RegistrationNumber,StartDate,EndDate,StartTime,EndTime,Status_Name,TermsAndConditions,Created,LastUpdated,IsActive,Notes,EstimatedInventoryCostSubTotal,EstimatedLaborCostSubTotal,EstimatedAdditionalCostSubTotal,EstimatedTotalCost,ActualInventoryCostSubTotal,ActualLaborCostSubTotal,ActualAdditionalCostSubTotal,ActualTotalCost,OpenLineItemCount,InReviewLineItemCount,RequireSignatureLineItemCount,ClosedLineItemCount,LineItemCount,EstimatedHours,CompletedHours,RemainingHours,ClosedLineItemPercent,CompletedHoursPercent,ContactName,ContactEmail,ContactPhone,ReferenceField,FlightDocsURL
135357,4002aa43-5a73-4678-83a4-6f57f246a442,WO954-3-19-23SY,N954JS,2023-03-19,2023-03-21,,,Draft,,2023-02-28T01:03:16.587Z,2023-03-22T21:16:49.9837305Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,22,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135357
131990,135368db-678b-4471-9e05-87ab52999804,WO954-2-7-23JL,N954JS,2023-02-07,2023-02-09,,,Closed,,2023-01-23T01:11:26.55Z,2023-02-06T11:30:39.8235656Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,38,0.0,0.0,0.0,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/131990
126444,91b14898-7237-4cf5-a28d-5ccf77232a24,WO950-11-09-22,N950JS,2022-11-18,2022-11-22,2022-11-18T18:38:00Z,2022-11-22T18:00:00Z,Closed,,2022-11-21T00:38:45.36Z,2022-11-22T16:49:09.8978739Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,,,,100,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/126444
135503,af5a8cbd-ae56-4bd7-b603-bb32a5cb8359,WO947-2-28-23DG,N947JS,2023-02-28,2023-03-01,2023-02-28T21:30:00Z,2023-03-01T17:00:00Z,Closed,,2023-02-28T21:44:46.547Z,2023-03-06T15:03:19.25177Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,,,,100,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/135503
135355,f0d675ce-db1b-40b8-8179-88063b257615,WO945-3-27-23SY,N945JS,2023-03-27,2023-03-28,2023-03-27T23:59:00Z,2023-03-28T23:59:00Z,Draft,,2023-02-28T00:47:55.72Z,2023-03-15T17:10:46.8620947Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,11,0.0,0.0,0.0,0,0,,,,SCHED MX - MSU,https://app2.flightdocs.com/#/work-orders/work-order/detail/135355
131985,9f40c535-38b7-410d-9554-e19c6b162b63,WO943-2-21-23JL,N943JS,2023-02-21,2023-02-27,,,Draft,,2023-01-22T22:34:13.813Z,2023-02-24T21:55:52.1753147Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0,0,57,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/131985
135353,6e1165f9-5d01-4449-8cbe-54ce24d249b4,WO942-3-31-23SY,N942JS,2023-03-31,2023-04-30,2023-04-01T03:00:00Z,,Draft,,2023-02-28T00:29:33.36Z,2023-03-21T23:40:14.0886002Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,0,0,70,0.0,0.0,0.0,0,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/135353
129565,6fa785b0-272f-4e34-8b41-b8d612d2dc78,WO942-1-30-23JL,N942JS,2023-01-29,2023-01-31,2023-01-30T04:30:00Z,2023-02-01T04:30:00Z,Closed,,2022-12-24T02:20:20.453Z,2023-02-12T19:45:51.5692462Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27,27,0.0,0.0,0.0,100,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/129565
126301,db4bfbd3-4c11-4678-ae60-212832855624,WO941-3-1-23SJ,N941JS,2023-03-01,2023-03-07,2023-03-01T12:00:00Z,2023-03-07T22:00:00Z,Canceled,,2022-11-18T17:27:47.497Z,2022-12-27T03:54:54.1432309Z,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,,,,LH/RH Rental Removals/Core Installs,https://app2.flightdocs.com/#/work-orders/work-order/detail/126301
129588,2f82a8ff-ac71-47ff-bedd-86f22940a152,WO941-1-1-23JL,N941JS,2023-02-01,2023-02-10,,,Closed,,2022-12-24T23:59:04.337Z,2023-02-15T17:30:20.342674Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,59,59,0.0,0.0,0.0,100,0,,,,SCHED MX ISO,https://app2.flightdocs.com/#/work-orders/work-order/detail/129588
137495,18d29d29-8a2a-42ab-9542-71d912bb605c,WO938-4-18-23SY,N938JS,2023-04-18,2023-04-19,,,Draft,,2023-03-21T23:06:53.043Z,2023-03-21T23:08:55.293198Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,6,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137495
129571,55f1c585-b4ff-4fa2-b1f5-47feb909dd47,WO938-1-25-23JL,N938JS,2023-01-25,2023-01-30,,,Canceled,,2022-12-24T04:22:44.96Z,2022-12-24T23:14:09.4295129Z,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/129571
137465,7301a6f1-25f1-45eb-8079-c90621d3220c,WO937-3-28-23GR,N937JS,2023-03-28,,,,Draft,,2023-03-21T18:40:21.977Z,2023-03-23T23:19:00.202974Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,6,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137465
133267,52235ec8-4f23-4f37-8778-5f2fd2bc4971,WO937-2-16-23SY,N937JS,2023-02-15,2023-02-19,2023-02-16T04:59:00Z,2023-02-20T04:59:00Z,Closed,,2023-02-03T20:22:30.6Z,2023-03-13T17:50:46.3295223Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,37,37,0.0,0.0,0.0,100,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/133267
129563,71e9dadf-bdf1-41cc-a95e-96c037fdca91,WO937-1-24-23JL,N937JS,2023-01-24,2023-01-28,,,Closed,,2022-12-24T01:25:23.01Z,2023-02-08T11:02:03.5589405Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,31,31,0.0,0.0,0.0,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/129563
135350,60874650-61fa-429e-92c8-b526a20ddda8,WO932-3-21-23SY,N932JS,2023-03-21,2023-03-23,,,Draft,,2023-02-28T00:06:31.973Z,2023-03-16T19:48:57.8622685Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,18,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135350
131984,0502a7d3-33f7-4cad-9f83-677708a9790e,WO932-2-15-23JL,N932JS,2023-02-15,2023-02-16,,,Closed,,2023-01-22T22:23:02.21Z,2023-02-21T16:22:23.8292062Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23,23,0.0,0.0,0.0,100,0,,,,SCHEDULED MX / WITH PILOT SQUAWK,https://app2.flightdocs.com/#/work-orders/work-order/detail/131984
131989,3d8a37fe-84a1-4bae-9784-4476b18e6bfe,WO928-2-22-23JL,N928JS,2023-02-22,2023-02-24,,,Closed,,2023-01-23T00:36:53.773Z,2023-03-08T13:39:20.0812717Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,44,44,0.0,0.0,0.0,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/131989
137077,7cf96139-88a5-47d1-b90c-c1a5c738b5b8,WO868-3-27-23CW,N868JS,2023-03-27,2023-04-03,,,Draft,,2023-03-16T22:00:24.44Z,2023-03-23T22:00:12.0783786Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,23,,0.0,,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137077
137710,9e060a3f-1c0d-4b7c-aad5-2f09a5aefc1c,WO867-4-18-23SY,N867JS,2023-04-18,2023-04-19,,,Draft,,2023-03-23T23:02:18.36Z,2023-03-23T23:08:05.8217464Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,12,0.0,0.0,0.0,0,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/137710
136185,43e268c2-e4ad-4bfc-b29f-bcb8ea9b1678,WO867-3-7-23MJS,N867JS,,,,,Closed,,2023-03-07T19:14:16.127Z,2023-03-22T13:44:21.3345032Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27,27,0.0,0.0,0.0,100,0,,,,20 PILOT SQUAWKS,https://app2.flightdocs.com/#/work-orders/work-order/detail/136185
136103,d448a00f-03d6-4a1c-a250-f2d86a013d83,WO867-3-22-23JL,N867JS,2023-03-22,2023-03-22,2023-03-22T21:00:00Z,2023-03-23T03:59:00Z,Draft,,2023-03-07T00:38:06.183Z,2023-03-22T22:29:10.5028022Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,7,0.0,0.0,0.0,0,0,,,,SCHED MX - MSU,https://app2.flightdocs.com/#/work-orders/work-order/detail/136103
135242,86b38a5d-2a18-41e6-89fb-eb9abd74bfb1,WO867-2-27-23GR,N867JS,2023-02-28,,,,Closed,,2023-02-27T14:57:14.133Z,2023-03-07T11:59:40.6835571Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24,24,,,,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135242
134952,8987e169-f700-4d1e-8880-a0ec71bbd3d1,WO867-2-21-23TP,N867JS,,,,,Closed,,2023-02-23T13:14:47.583Z,2023-02-23T13:17:57.311559Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,,,,100,0,,,,O2 SERVICING,https://app2.flightdocs.com/#/work-orders/work-order/detail/134952
